41,14,32
34,13,37
33,0,1
33,11,4
12,26,17
34,14,30
42,4,9
50,27,38
35,35,4
35,4,17
14,48,8
23,4,6
46,19,43
48,20,8
33,13,46
3,14,15
20,34,16
25,14,9
39,30,16
25,38,42
11,13,49
24,4,42
17,35,47
40,42,13
13,20,22
25,11,46
7,23,42
18,0,47
49,25,43
9,32,29
17,10,13
28,5,47
17,9,5
44,2,10
4,8,13
48,13,26
9,50,7
34,13,2
14,12,0
24,38,47
27,45,46
31,19,23
27,50,47
37,17,34
29,32,48
8,8,35
46,39,9
2,40,34
25,29,2
1,34,46
2,14,27
11,1,34
10,46,43
10,37,46
24,7,13
33,20,1
28,15,25
47,9,37
24,27,10
20,12,22
11,34,33
6,39,47
43,8,49
6,41,25
28,7,9
14,21,13
7,44,40
31,41,23
32,49,17
25,32,6
9,2,38
42,16,43
48,13,18
42,23,9
7,0,27
45,22,27
50,5,16
48,23,46
43,38,18
17,29,17
29,38,36
25,44,7
1,46,14
48,19,19
41,43,46
6,43,31
8,4,27
30,5,1
30,15,6
24,31,45
40,10,40
22,2,7
12,24,11
37,14,42
5,21,0
22,1,16
30,13,36
12,18,50
15,38,5
5,7,26
5,14,43
2,12,33
7,26,8
40,30,18
10,31,0
20,45,9
39,19,25
5,30,38
20,25,18
20,0,13
10,11,15
27,31,28
9,11,17
8,21,50
14,19,41
39,7,36
24,30,42
44,38,14
40,6,19
41,24,16
10,41,41
13,41,19
25,1,9
36,2,42
6,14,24
7,28,1
50,3,19
37,15,21
17,35,3
40,40,1
17,42,2
30,50,12
50,28,50
15,41,6
45,35,22
21,50,18
3,20,18
14,50,33
49,34,32
50,50,37
3,42,35
3,20,32
24,32,5
25,16,40
43,29,50
18,39,31
47,4,30
13,1,3
35,48,2
17,25,50
50,48,5
3,47,3
28,1,36
41,34,25
9,26,22
15,10,41
23,10,17
10,11,1
13,12,27
32,24,47
15,0,14
38,0,46
34,2,39
30,37,40
4,23,2
38,14,38
1,26,27
7,33,23
33,30,42
28,21,14
41,35,3
38,25,18
12,20,27
29,46,1
7,47,32
18,9,7
7,22,1
43,10,14
40,34,21
22,48,0
45,39,27
37,50,32
11,9,43
30,35,44
20,5,2
19,0,28
35,48,4
2,45,6
36,9,34
19,7,27
16,14,24
42,17,37
18,40,24
38,17,22
1,9,25
25,35,24
11,50,49
37,29,40
47,42,49
34,26,34
